question,answer,clean_question,intent
@AppleSupport I need a new code for my I-store. I haven’t recd any but msg is too many sent. Help!,@105851 We'd like to provide some assistance with this. Tell us more about the issue you're experiencing in DM. We'll go from there. https://t.co/GDrqU22YpT,i need a new code for my istore i havent recd any but msg is too many sent help,general_query
@76099 @AppleSupport fix this update. It’s horrible,"@105852 Are you experiencing an issue with your device? If so, DM us with what's going on. We'll see how we can help from there. https://t.co/GDrqU22YpT",fix this update its horrible,general_query
"@British_Airways Thanks for your answer. Response onsite was that Aircraft will not depart today, so rebooking to @105853 with now 4h delay...",@105842 Very sorry to hear this.  We hope you get everything sorted.   Kind Regards ^Jools,thanks for your answer response onsite was that aircraft will not depart today so rebooking to  with now 4h delay,delivery_issue
@Tesco The point is if it's enforced they do it properly or they don't. Plus take some common-sense and think does that person look over 18?,"@105855 Hi Thomas, if a colleague believes the person buying alcohol looks under 25, they will be challenged for ID to prove they're of age. - Paige",the point is if its enforced they do it properly or they dont plus take some commonsense and think does that person look over 18,general_query
@Tesco Uk offlicense law is 18. Not 25,"@105855 Hi Thomas, this is correct but this helps our store colleagues judge age and protect them from making underage sales. Amanda",uk offlicense law is 18 not 25,general_query
@Tesco Will I lose all the shopping I've done if I delete the cache/cookies (not using app)?,"@105856 Hi there, as long as you sign out of your account prior to deleting your cache &amp; cookies, you'll still have a full basket :) Thanks - Mike",will i lose all the shopping ive done if i delete the cachecookies not using app,general_query
@Tesco Done all that. Still telling me there are no delivery slots whatsoever.,"@105856 Can you DM me your full name, address and email? I'd be happy to look into this further for you :) Thanks - Mike",done all that still telling me there are no delivery slots whatsoever,delivery_issue
"Hey @Tesco, your website's broken. It's telling me there are no delivery slots for the next 3 weeks, which I find slightly unlikely.","@105856 Hi there, could you try deleting your cache and cookies and reinstalling the app if using it? This should fix the issue :) - Dani",hey  your websites broken its telling me there are no delivery slots for the next 3 weeks which i find slightly unlikely,delivery_issue
@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.,@105857 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM. https://t.co/GDrqU22YpT,i have the latest version ios it started immediately after i updated my phone,general_query
My apps stop working without warning and my phone freezes every five minutes! Love the new update @76099!!!!,@105857 We'd like to help if we can. When did this start happening? Which version of iOS are you running currently?,my apps stop working without warning and my phone freezes every five minutes love the new update,general_query
@HPSupport Problem with printhead  Serial# TH536D1HN #hpcswus #hpprnt,"@105858 Hi Agoura, thanks for tweeting. Please refer to this article: https://t.co/BSsgjZARTc &amp; click the link to reply back. ^Rashmi https://t.co/a2xkfCrUG1",problem with printhead  serial th536d1hn hpcswus hpprnt,general_query
@105860 I wish Amazon had an option of where I can just get it shipped to the ups store so I can avoid a lot of the struggle,@105859 UPS has a service called My Choice that will allow your packages to be delivered to UPS Store. ^ML  https://t.co/BPZKndqww1 https://t.co/wKJHDXWGRQ,i wish amazon had an option of where i can just get it shipped to the ups store so i can avoid a lot of the struggle,general_query
